Object Tracking Data File Fri, Nov 19, 2021 12:41 PM
X (pixels)  	Y (pixels)  
1019.01	617.58
1021.12	614.24
1023.73	615.74
1027.12	612.31
1025.24	618.11
1022.01	624.35
1021.70	622.22
1017.99	622.39
1013.10	622.02
1014.49	627.94
1019.12	625.07
1021.57	625.92
1027.50	626.35
1026.48	627.54
1028.93	627.07
1025.68	622.55
1027.72	626.05
1033.18	625.48
1022.87	625.58
1016.33	626.13
1022.59	622.01
1023.68	619.60
1024.03	614.07
1019.36	617.45
1018.69	616.86
1015.60	622.08
1015.72	619.94
1011.30	622.76
1009.56	624.11
1010.43	627.07
1003.68	623.98
1002.62	625.29
1009.38	620.96
1004.18	619.87
1000.22	626.69
1001.70	626.48
999.12	621.96
1003.12	614.52
1007.34	617.68
1003.04	626.34
990.99	623.81
987.92	621.96
987.64	619.19
991.11	624.74
992.66	632.24
997.68	636.31
999.37	633.58
997.96	627.59
996.47	619.66
999.67	620.69
1004.39	623.62
1006.98	624.45
1008.34	624.37
1008.96	622.91
1013.01	624.96
1003.61	623.71
999.45	620.96
998.14	621.76
1002.51	621.39
1004.23	621.17
1007.38	615.56
1012.62	614.66
1007.64	612.03
1013.94	611.09
1013.63	612.70
1015.46	610.71
1011.60	612.26
1013.30	610.95
1007.58	611.30
1004.12	609.95
1006.26	613.98
1003.25	617.26
1002.55	618.61
1003.53	617.53
1002.81	620.91
1003.77	615.63
1006.34	614.90
1006.01	619.48
1006.21	622.39
1006.56	621.68
1002.19	628.34
1001.09	627.53
1004.54	626.58
1001.72	622.00
1002.19	623.37
1002.18	621.27
1001.57	618.64
998.78	619.32
997.24	616.55
1000.30	619.07
999.66	613.59
1004.28	612.03
1005.10	609.96
1006.06	612.91
1002.87	615.30
1001.91	615.71
1003.24	626.02
1005.38	626.53
1008.75	629.01
1006.34	626.74
1006.25	628.29
1004.75	625.04
1008.20	617.14
1005.69	619.97
1008.33	618.56
1004.33	618.21
1002.72	616.13
1002.37	615.53
999.71	613.25
998.19	614.60
995.65	617.08
994.33	620.36
994.88	623.28
990.66	632.15
989.08	623.22
988.40	625.58
983.59	622.38
984.52	620.63
990.33	618.85
986.01	613.69
