Object Tracking Data File Fri, Nov 19, 2021 1:22 PM
X (pixels)  	Y (pixels)  
741.94	298.10
742.92	298.16
741.55	301.52
742.48	299.61
742.98	298.81
741.17	300.68
739.12	300.82
742.01	300.15
742.54	301.64
741.81	303.13
739.86	302.52
740.29	300.87
747.96	301.36
752.76	302.63
755.96	302.50
759.39	312.02
756.81	319.63
752.85	317.08
757.37	316.49
758.85	314.95
759.73	317.49
758.53	316.45
763.86	323.49
763.01	327.30
763.46	327.56
759.20	328.46
765.33	326.99
769.83	327.36
773.52	331.16
776.95	334.29
781.50	337.23
777.05	336.07
781.86	336.64
783.17	335.77
779.80	330.61
778.10	330.75
781.91	328.70
781.72	329.77
782.82	332.92
783.60	330.41
786.76	336.90
788.77	328.60
789.49	326.37
789.49	325.14
786.00	320.56
788.45	316.41
791.37	311.66
791.97	313.15
794.48	315.50
788.92	313.63
788.63	313.36
787.35	312.48
786.33	316.40
786.35	317.93
785.33	320.18
789.24	320.62
787.80	319.34
790.04	321.54
789.57	322.72
788.67	323.48
788.79	328.00
788.91	327.27
790.34	330.91
796.24	327.97
797.82	326.48
802.61	331.31
801.75	332.55
804.88	335.17
805.30	339.48
802.61	337.21
801.87	334.77
805.88	332.92
807.58	330.09
805.14	331.00
803.94	332.23
807.79	332.43
809.97	333.23
809.56	329.09
812.45	320.48
814.03	323.52
818.14	319.83
815.83	318.72
817.63	317.63
820.06	316.21
824.85	320.84
832.61	323.63
830.46	320.97
830.45	317.78
835.43	315.45
834.01	309.58
836.56	312.54
836.38	313.26
836.00	314.50
834.41	314.26
836.49	309.17
837.82	311.20
833.55	309.23
833.22	307.38
837.63	306.58
833.47	308.78
828.56	313.32
828.40	312.63
833.29	309.54
833.47	305.96
839.68	305.92
840.29	309.40
842.76	314.24
845.42	313.95
849.63	316.88
850.25	313.74
851.90	310.14
854.00	310.07
858.05	311.06
858.34	313.63
860.49	312.04
862.91	313.71
864.09	314.79
865.33	316.55
866.19	319.48
862.87	319.39
